"epoch","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MAX"
"7149","142","142","142","0.000011469714081613347","0.000011469714081613347","0.000011469714081613347","","","","","",""
"7249","144","144","144","0.000011372178050805815","0.000011372178050805815","0.000011372178050805815","144","144","144","1.4165802753041135e-8","1.4165802753041135e-8","1.4165802753041135e-8"
"7299","","","","","","","145","145","145","1.4051035002182743e-8","1.4051035002182743e-8","1.4051035002182743e-8"
"7349","","","","","","","146","146","146","1.3935067322279338e-8","1.3935067322279338e-8","1.3935067322279338e-8"
"7499","149","149","149","0.000011115338566014543","0.000011115338566014543","0.000011115338566014543","","","","","",""
"7599","151","151","151","0.000011007378816429991","0.000011007378816429991","0.000011007378816429991","151","151","151","1.3342682514405624e-8","1.3342682514405624e-8","1.3342682514405624e-8"
"7649","152","152","152","0.000010952176126011182","0.000010952176126011182","0.000010952176126011182","","","","","",""
"7699","153","153","153","0.000010896284038608428","0.000010896284038608428","0.000010896284038608428","153","153","153","1.3102506635220834e-8","1.3102506635220834e-8","1.3102506635220834e-8"
"7749","154","154","154","0.000010839607057278045","0.000010839607057278045","0.000010839607057278045","154","154","154","1.2981504760034568e-8","1.2981504760034568e-8","1.2981504760034568e-8"
"7849","156","156","156","0.000010724031199060846","0.000010724031199060846","0.000010724031199060846","","","","","",""
"7899","","","","","","","157","157","157","1.2693374351613329e-8","1.2693374351613329e-8","1.2693374351613329e-8"
"7949","158","158","158","0.00001060558861354366","0.00001060558861354366","0.00001060558861354366","","","","","",""
"7999","","","","","","","159","159","159","0.0000016833223526191432","0.0000016833223526191432","0.0000016833223526191432"
"8149","162","162","162","0.000015652676665922627","0.000015652676665922627","0.000015652676665922627","162","162","162","1.2098419155393003e-8","1.2098419155393003e-8","1.2098419155393003e-8"
"8249","164","164","164","0.000010253941582050174","0.000010253941582050174","0.000010253941582050174","","","","","",""
"8299","165","165","165","0.000010196810762863606","0.000010196810762863606","0.000010196810762863606","165","165","165","1.1896819529511049e-8","1.1896819529511049e-8","1.1896819529511049e-8"
"8399","167","167","167","0.00001202948533318704","0.00001202948533318704","0.00001202948533318704","167","167","167","1.1762786300550943e-8","1.1762786300550943e-8","1.1762786300550943e-8"
"8449","168","168","168","0.000011748262295441236","0.000011748262295441236","0.000011748262295441236","","","","","",""
"8499","","","","","","","169","169","169","1.1623552786943492e-8","1.1623552786943492e-8","1.1623552786943492e-8"
"8549","","","","","","","170","170","170","1.1553220602422698e-8","1.1553220602422698e-8","1.1553220602422698e-8"
"8599","","","","","","","171","171","171","1.1482068629220521e-8","1.1482068629220521e-8","1.1482068629220521e-8"
"8649","172","172","172","0.00000982334586296929","0.00000982334586296929","0.00000982334586296929","","","","","",""
"8699","","","","","","","173","173","173","1.1337545124945336e-8","1.1337545124945336e-8","1.1337545124945336e-8"
"8749","174","174","174","0.000009799592589843087","0.000009799592589843087","0.000009799592589843087","174","174","174","1.1262787147359177e-8","1.1262787147359177e-8","1.1262787147359177e-8"
"8799","175","175","175","0.000009672503438196145","0.000009672503438196145","0.000009672503438196145","","","","","",""
"8849","176","176","176","0.000009621571734896861","0.000009621571734896861","0.000009621571734896861","176","176","176","1.1112518905065372e-8","1.1112518905065372e-8","1.1112518905065372e-8"
"8899","177","177","177","0.000009571492228133138","0.000009571492228133138","0.000009571492228133138","177","177","177","1.1036293656729868e-8","1.1036293656729868e-8","1.1036293656729868e-8"
"8949","","","","","","","178","178","178","1.0959827712042625e-8","1.0959827712042625e-8","1.0959827712042625e-8"
"8999","","","","","","","179","179","179","1.0887776902279711e-8","1.0887776902279711e-8","1.0887776902279711e-8"
"9049","180","180","180","0.000009430863428860903","0.000009430863428860903","0.000009430863428860903","","","","","",""
"9199","183","183","183","0.00008635085396235809","0.00008635085396235809","0.00008635085396235809","183","183","183","1.48018681755957e-8","1.48018681755957e-8","1.48018681755957e-8"
"9249","","","","","","","184","184","184","2.1341747924452648e-8","2.1341747924452648e-8","2.1341747924452648e-8"
"9299","185","185","185","0.000009230461728293449","0.000009230461728293449","0.000009230461728293449","185","185","185","1.0397323890742882e-8","1.0397323890742882e-8","1.0397323890742882e-8"
"9349","","","","","","","186","186","186","1.629913093381674e-8","1.629913093381674e-8","1.629913093381674e-8"
"9449","","","","","","","188","188","188","4.637058381717907e-8","4.637058381717907e-8","4.637058381717907e-8"
"9499","","","","","","","189","189","189","8.033542542307259e-8","8.033542542307259e-8","8.033542542307259e-8"
"9549","190","190","190","0.000009426164979231544","0.000009426164979231544","0.000009426164979231544","190","190","190","1.0046066201141457e-8","1.0046066201141457e-8","1.0046066201141457e-8"
"9649","192","192","192","0.000008902985427994281","0.000008902985427994281","0.000008902985427994281","192","192","192","9.936111489139421e-9","9.936111489139421e-9","9.936111489139421e-9"
"9749","194","194","194","0.00006837688852101564","0.00006837688852101564","0.00006837688852101564","194","194","194","9.846869986063211e-9","9.846869986063211e-9","9.846869986063211e-9"
"9799","195","195","195","0.000009352603228762746","0.000009352603228762746","0.000009352603228762746","","","","","",""
"9849","","","","","","","196","196","196","9.757430419199409e-9","9.757430419199409e-9","9.757430419199409e-9"
"9899","197","197","197","0.000008702309969521593","0.000008702309969521593","0.000008702309969521593","197","197","197","9.711377479959538e-9","9.711377479959538e-9","9.711377479959538e-9"
"9949","198","198","198","0.000008662399523018394","0.000008662399523018394","0.000008662399523018394","","","","","",""
"10099","","","","","","","201","201","201","9.521735400142006e-9","9.521735400142006e-9","9.521735400142006e-9"
"10149","202","202","202","0.000008511046871717554","0.000008511046871717554","0.000008511046871717554","202","202","202","9.473097861700808e-9","9.473097861700808e-9","9.473097861700808e-9"
"10249","204","204","204","0.00041820554179139435","0.00041820554179139435","0.00041820554179139435","","","","","",""
